Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Rounds Completed,Rounds,Avg Human Percentile,Competition Rank
deepseek-reasoner,6,32,161.0,161.0,28.13,56.23,50.0,1,0,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.58,26
Qwen3-32B,6,32,211.0,211.0,38.88,54.87,46.88,2,0,2,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.74,16
OpenCodeReasoning-Nemotron-32B-IOI,6,32,263.0,263.0,50.13,53.51,46.88,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",70.94,17
gpt-oss-20b-medium,6,32,170.0,170.0,28.92,56.9,50.0,0,2,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.44,29
gpt-oss-20b-low,6,32,228.0,228.0,41.0,66.61,63.12,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.59,20
seed-oss_-1,6,32,261.0,261.0,47.88,54.09,45.31,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.72,6
Qwen3-14B,6,32,152.0,152.0,26.5,54.65,46.88,0,1,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.54,31
Qwen3-8B,6,32,253.0,253.0,47.79,50.58,40.63,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",81.87,7
seed-oss_8192,6,32,250.0,250.0,46.25,52.46,43.75,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.69,8
Qwen3-30B,6,32,243.0,243.0,46.38,51.37,40.63,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.75,9
deepseek-chat,6,32,233.0,233.0,46.29,50.29,43.75,3,0,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.68,13
gpt-4.1,6,32,246.0,246.0,47.42,50.13,43.75,2,0,2,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.61,15
OlympicCoder-7B,6,32,204.0,204.0,40.0,44.47,34.38,1,2,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",61.15,27
Qwen3-4B,6,32,197.0,197.0,39.38,47.68,31.25,1,2,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.58,18
